"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_D2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1,"a","g","b",3,10,625,93,12,78,"d",4347.942,0.210172043010753,0.0913126259784946,0.850044848,105.552152342,4575.10135156,819.924529041786,48331.672,5166.968
2,"a","g","b",3,10,625,31,12,78,"r",10360.74,0.907290322580645,0.652768397096774,2.024410342,124.903578134,5270.13209766,367.624355521527,57023.21,6424.276
3,"a","g","b",3,10,225,33,4,28,"r",9206.73,0.86830303030303,0.544905895878788,1.799084206,41.091828146,1924.802847648,165.259449639134,18541.148,2203.438
4,"a","g","b",3,10,625,93,12,78,"d",7167.61,0.301268817204301,0.150529443978495,1.400749984,73.280218752,6647.622710936,871.542467863728,30476.188,5189.972
5,"a","g","b",3,10,225,33,4,28,"d",1644.678,0.226,0.0973412641818182,0.322010144,72.148117212,821.946273438,336.829075318784,34808.994,1976.788
6,"a","g","b",3,10,225,11,4,28,"d",0.128,0.0101818181818182,2.27258181818182e-05,0.000751958,165.541433588,768.296046868,298.214285714286,73407.222,9579.442
7,"a","g","b",3,10,625,93,12,78,"d",5141.5,0.276989247311828,0.107978410537634,1.004968602,148.912613292,4607.849710954,719.048374816695,47356.06,13569.562
8,"a","g","b",3,10,225,11,4,28,"r",3096.33,0.904181818181818,0.549774503454545,0.605507772,32.505640624,1794.363203132,150.04311259058,15031.302,1485.768
9,"a","g","b",3,10,625,31,12,78,"d",5293.74,0.628645161290323,0.333526965290323,1.034737254,132.818707034,4462.08894532,671.685909634301,59973.12,7035.386
10,"a","g","b",3,10,625,31,12,78,"d",5391.63,0.666967741935484,0.339694429935484,1.053876578,125.793835966,4482.023132824,799.757030404795,51638.604,10199.368
11,"a","g","b",3,10,225,11,4,28,"r",3530.054,0.867454545454545,0.626785157272727,0.69023823,37.998710932,1819.849179688,193.093127995409,16586.362,2179.378
12,"a","g","b",3,10,625,93,12,78,"r",30456.866,0.866666666666667,0.639635122688172,5.949516568,64.657464848,6476.7788867,480.743260545495,29975.552,2868.306
13,"a","g","b",3,10,225,11,4,28,"d",1961.256,0.745272727272727,0.348234373636364,0.383737062,30.399394534,831.714648444,286.648152012258,13748.66,1513.97
14,"a","g","b",3,10,225,33,4,28,"d",0.37,0.00406060606060606,2.18984848484848e-05,0.000874082,45.932910174,518.754929698,338.210526315789,21958.338,1415.062
15,"a","g","b",3,10,225,33,4,28,"d",307.676,0.0712121212121212,0.0182099891515152,0.060898278,111.487082034,551.176769528,324.67866985485,46657.016,9296.828
