"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1,"a","g","b",3,10,625,31,12,78,"r",8743.91304347826,0.827813140576114,0.550901763189125,1.70863984280936,103.463497692308,4104.86707602676,408.562672286195,43985.3143812709,7450.22408026756
2,"a","g","b",3,10,625,93,12,78,"r",23196.2675585284,0.7465746035171,0.487152790951919,4.53140334782609,247.893479143813,4482.64694771572,272.772355695652,94585.0401337793,23961.525083612
3,"a","g","b",3,10,225,33,4,28,"d",2.52508361204013,0.0281747238268977,0.000149439140569575,0.00123089632107023,85.1003078862876,516.57742561204,335.196376973282,36165.6622073579,6624.80267558528
4,"a","g","b",3,10,225,11,4,28,"r",2893.03344481605,0.798418972332016,0.513677768014594,0.565788692307692,23.1406506722408,1708.95051168562,174.398601510135,10359.1137123746,1268.9397993311
5,"a","g","b",3,10,225,11,4,28,"d",1056.16722408027,0.495287321374278,0.187529652477957,0.206891829431438,75.8220104147157,1057.85433823411,299.483752373134,30523.3745819398,6741.44481605351
6,"a","g","b",3,10,225,33,4,28,"d",9.01672240802676,0.020979020979021,0.000533655518394649,0.00249815050167224,54.7596998628763,405.13773732107,387.070205102703,24620.4147157191,3112.40468227425
7,"a","g","b",3,10,625,31,12,78,"r",8590.77926421405,0.823605566943575,0.541253718739886,1.67872896655518,89.3950011404682,3812.00361189632,311.319817726351,41276.5986622074,4159.39464882943
8,"a","g","b",3,10,625,93,12,78,"r",23030.6622073579,0.762290070845471,0.483674856259215,4.49907384280936,135.816294792642,3627.77128143478,303.829437510067,61524.9933110368,7243.85284280936
9,"a","g","b",3,10,225,11,4,28,"d",1259.3745819398,0.548494983277592,0.223610505928854,0.246658053511706,29.9704544648829,599.416746816054,367.953718841155,13974.4180602007,1230.1237458194
10,"a","g","b",3,10,625,93,12,78,"r",24084.0635451505,0.764987233430431,0.505797700471104,4.70481383277592,143.843736488294,4433.22875688629,281.528694451178,63700.237458194,8451.75585284281
11,"a","g","b",3,10,225,11,4,28,"d",1352.14381270903,0.525387655822438,0.240082313165096,0.264715444816054,35.8910622207358,861.937107658863,264.920974,17086.2341137124,1132.69899665552
12,"a","g","b",3,10,225,11,4,28,"d",1618.19397993311,0.687442991790818,0.287321333840073,0.316716120401338,26.7092517759197,1109.86581530435,323.236725783688,12771.0535117057,837.635451505017
13,"a","g","b",3,10,225,11,4,28,"r",3229.2474916388,0.823350562480997,0.573374865004561,0.631467615384615,28.4492771170569,2135.91668147826,163.926984387755,13173.4949832776,1292.36120401338
14,"a","g","b",3,10,225,11,4,28,"r",2913.63879598662,0.836728488902402,0.51733638826391,0.569802515050167,56.5366647458194,1471.53283037124,196.400715955932,24896.4648829431,3481.36454849498
15,"a","g","b",3,10,625,31,12,78,"r",8831.17725752508,0.836659833854785,0.556399761247168,1.72570853177258,86.0293225451505,3821.43867539465,334.963322658784,39521.5652173913,3868.90635451505
16,"a","g","b",3,10,225,33,4,28,"r",8305.98327759197,0.790919225701834,0.49159463960677,1.62314568561873,31.051682277592,1593.46783504013,109.045919445946,13800.6454849498,1847.17725752508
17,"a","g","b",3,10,625,31,12,78,"d",3118.8093645485,0.446650124069479,0.196497552055238,0.609894785953177,107.592038123746,3547.08657720401,775.622012583942,46828.0869565217,7313.61538461538
18,"a","g","b",3,10,225,33,4,28,"d",1921.13377926421,0.248505118070335,0.113703453025236,0.375943702341137,48.8503339832776,941.643662070234,273.131456607143,22512.1939799331,2313.66220735786
19,"a","g","b",3,10,625,31,12,78,"d",2878.49163879599,0.449886719171432,0.181356564893732,0.562933715719064,113.761169618729,3097.84909289967,814.362536794425,51965.4414715719,5498.16387959866
20,"a","g","b",3,10,625,93,12,78,"d",2785.40802675585,0.181860682561945,0.0584973073686482,0.544741882943144,115.085421023411,1743.61383604348,860.075185933566,50727.9899665552,6573.82608695652
21,"a","g","b",3,10,225,33,4,28,"r",8177.03344481605,0.777439951352995,0.483962665551839,1.59793417725753,35.008563264214,1559.53176559866,137.824151838384,16038.1839464883,1720.25752508361
22,"a","g","b",3,10,625,31,12,78,"d",3319.21404682274,0.467472219225375,0.209123854245334,0.649013969899666,200.183671702341,3421.31745096656,598.96507990511,87285.9163879599,12634.8528428094
23,"a","g","b",3,10,625,93,12,78,"r",25504.5819397993,0.790628259071457,0.535630495738483,4.98224797658863,117.095062525084,4999.85395281605,291.334899138513,53896.5719063545,5587.59531772575
24,"a","g","b",3,10,225,11,4,28,"d",553.979933110368,0.334752204317422,0.0983628853754941,0.108917454849498,36.563570826087,940.902643795987,351.017484179825,17152.1337792642,1477.92642140468
25,"a","g","b",3,10,225,33,4,28,"r",7205.95652173913,0.725853856288639,0.426488889125367,1.40826927090301,41.4193204648829,1430.39981535452,145.609149478261,18635.3946488294,2314.3779264214
26,"a","g","b",3,10,225,11,4,28,"r",2683.42140468227,0.779568257829127,0.476459721191852,0.524853836120401,48.1659171973244,1250.18638906355,168.771071138514,22518.2809364548,1984.80602006689
27,"a","g","b",3,10,225,33,4,28,"r",7703.25752508361,0.758487888922671,0.455921950238168,1.50541271237458,38.0892880568562,1402.66021459866,133.041940419463,17469.4381270903,1839.97324414716
28,"a","g","b",3,10,225,33,4,28,"r",8352.47826086957,0.775311644876862,0.494346472889429,1.63222010033445,59.4751968394649,1734.77358728094,141.766422318792,23735.2006688963,4899.72240802676
29,"a","g","b",3,10,225,11,4,28,"r",3009.16387959866,0.829735481909395,0.534297521435087,0.588513548494983,25.895001173913,1618.3039293311,185.106650816327,11833.9765886288,1295.65217391304
30,"a","g","b",3,10,625,93,12,78,"d",1269.14381270903,0.123170424713202,0.0266537213651239,0.248546759197324,222.180150832776,1798.71340622408,639.273736324817,78580.8193979933,25691.6454849498
31,"a","g","b",3,10,225,11,4,28,"d",1181.45150501672,0.506840985101855,0.209774734569778,0.231455866220736,34.1618215284281,793.09849190301,317.026277561265,15403.0267558528,1904.71237458194
32,"a","g","b",3,10,625,31,12,78,"r",9334.99331103679,0.856618836983493,0.588142205200129,1.82408410702341,102.505231852843,4347.00836729766,267.508432884354,44594.1839464883,6832.25418060201
33,"a","g","b",3,10,225,11,4,28,"r",2755.05016722408,0.814229249011858,0.489177896929158,0.538809254180602,34.9897440334448,1422.77384205686,196.889974119863,16267.2006688963,1516.01337792642
34,"a","g","b",3,10,625,93,12,78,"r",22323.0468227425,0.723343043118639,0.46881398209084,4.3608383277592,90.9113904080268,4816.77309739465,330.620548228188,41362.2006688963,4769.40802675585
