"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","QUALITY","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1,"a","g","b","h",3,8,625,93,12,78,"d",121.571906354515,0.023627144244255,0.00255316970546985,0.0303815886287625,106.484884093645,1119.88085895318,890.086096329218,46931.7224080268,6441.41137123746
2,"a","g","b","h",3,8,225,33,4,28,"r",1204.45484949833,0.22286409242931,0.0712863757981149,0.294864130434783,144.070815016722,539.081423337793,190.123048286207,39024.7424749164,11697.4247491639
3,"a","g","b","h",3,8,225,11,4,28,"d",0.494983277591973,0.0361812100942536,8.78820310124658e-05,0.000854244147157191,28.3780697056856,797.582409672241,417.58757061017,13176.4648829431,1185.39130434783
4,"a","g","b","h",3,8,225,33,4,28,"d",0,0,0,0.000725608695652174,33.1223083344482,315.149462632107,NA,16117.0869565217,796.401337792642
5,"a","g","b","h",3,8,225,33,4,28,"d",0.0100334448160535,0.000304043782304652,5.93797506840985e-07,0.000770451505016722,17.8073129799331,407.720265040134,356.666666666667,8338.42140468227,686.230769230769
6,"a","g","b","h",3,8,625,93,12,78,"d",128.645484949833,0.0251015931240335,0.00270172359477829,0.0321103210702341,167.198885183946,1191.68211703344,822.298949900369,72538.237458194,10833.2341137124
7,"a","g","b","h",3,8,625,31,12,78,"d",4.40468227424749,0.0342000215773007,0.000277503829970871,0.00180522408026756,145.13385067893,1559.91240940803,786.969324567568,61146.1605351171,10548.143812709
8,"a","g","b","h",3,8,625,31,12,78,"r",970.725752508361,0.202395080375445,0.0611596225051246,0.237817003344482,234.09550670903,1638.575028301,623.729634735395,91123.9230769231,19249.7993311037
9,"a","g","b","h",3,8,225,33,4,28,"d",0.0100334448160535,0.000304043782304652,5.93797506840985e-07,0.000761578595317726,38.194802548495,295.746302337793,407.333333333333,18515.4615384615,997.056856187291
10,"a","g","b","h",3,8,625,31,12,78,"d",0.173913043478261,0.00485489265292912,1.09565217391304e-05,0.000707290969899666,105.733394715719,1165.66049549164,816.322222222222,50348.6120401338,3619.6889632107
11,"a","g","b","h",3,8,225,33,4,28,"r",1321.23745819398,0.222357352792135,0.078198224789703,0.323399013377926,120.736961297659,586.586694789298,200.192812921233,35163.3377926421,13050.8628762542
12,"a","g","b","h",3,8,225,33,4,28,"d",0.0100334448160535,0.000304043782304652,5.93797506840985e-07,0.000754508361204013,80.2758017023411,358.071429110368,303,38452.7558528428,2493.54180602007
13,"a","g","b","h",3,8,625,31,12,78,"d",10.0133779264214,0.0503829970870644,0.000630871830833963,0.00313980602006689,115.094951464883,1928.16901999331,727.720354899194,53933.9665551839,4457.73913043478
14,"a","g","b","h",3,8,225,11,4,28,"d",0.381270903010033,0.0267558528428094,6.76929157798723e-05,0.000763538461538462,48.6349088829431,440.506570946488,403.565340897727,22707.4648829431,1987.17391304348
15,"a","g","b","h",3,8,225,33,4,28,"d",0.40133779264214,0.00972940103374886,2.37519002736394e-05,0.000833518394648829,53.2637628862876,343.772437635452,335.852430541667,25363.6923076923,1785.01337792642
16,"a","g","b","h",3,8,225,11,4,28,"d",0.71571906354515,0.0380054727880815,0.000127072666463971,0.000862317725752508,46.13099609699,593.707468481605,314.801881669355,22628.9163879599,933.772575250836
17,"a","g","b","h",3,8,225,33,4,28,"r",87.2441471571906,0.0670923279618932,0.00516358528428094,0.0221401204013378,46.7585371070234,590.812153354515,256.285950283737,20486.4983277592,2824.54515050167
18,"a","g","b","h",3,8,225,11,4,28,"r",591.976588628763,0.412283368805108,0.105109436302828,0.145276284280936,132.469657531773,799.986530140468,219.51066367354,41292.4816053512,12917.3143812709
19,"a","g","b","h",3,8,225,33,4,28,"r",2423.09698996656,0.333434681260768,0.143412449275362,0.592400869565217,211.14767932107,662.520647789298,180.688092020408,50864.0802675585,23417.3043478261
20,"a","g","b","h",3,8,625,31,12,78,"r",2065.56856187291,0.321070234113712,0.130139132916172,0.505071839464883,290.869473331104,1955.29372605351,579.991711183673,77524.110367893,34322.1170568562
21,"a","g","b","h",3,8,625,93,12,78,"r",7699.17391304348,0.329197684036394,0.161692995576653,1.8805046722408,444.482127458194,1793.47289749498,401.658839683673,108772.284280936,44298.2943143813
22,"a","g","b","h",3,8,625,31,12,78,"d",0.274247491638796,0.00733628223109289,1.72775919732441e-05,0.000764535117056856,84.4392305919732,1409.58595012375,1042.78571426984,39388.9933110368,3477.65217391304
23,"a","g","b","h",3,8,225,11,4,28,"d",0.270903010033445,0.0218911523259349,4.80975980541198e-05,0.000816277591973244,15.6439233377926,632.930131227425,383.731481472222,7402.95986622074,571.491638795987
24,"a","g","b","h",3,8,225,11,4,28,"r",499.096989966555,0.335056248099726,0.0886180316205534,0.12258608361204,99.5466067525084,714.159273966555,240.28436802069,35712.6889632107,9855.86287625418
25,"a","g","b","h",3,8,225,33,4,28,"r",244.876254180602,0.0862470862470862,0.0144931370223979,0.0606056120401338,60.9060797725753,558.788415384615,265.017601226804,24706.237458194,4540.96321070234
26,"a","g","b","h",3,8,625,31,12,78,"r",3976.44816053512,0.578163771712159,0.250532252238645,0.971601341137124,395.172397133779,1691.27365918729,368.899121071186,117704.966555184,49676.9899665552
27,"a","g","b","h",3,8,625,93,12,78,"r",10134.2943143813,0.41712518430611,0.212833796993563,2.47500844816054,642.330907274247,2077.00104468562,298.295458787671,160316.157190635,85709.856187291
28,"a","g","b","h",3,8,225,33,4,28,"d",2.54180602006689,0.0400324313367792,0.00015042870173305,0.00134985953177258,73.7863120100334,462.281824394649,379.83540725,29125.745819398,6269.50501672241
29,"a","g","b","h",3,8,625,93,12,78,"d",1420.28762541806,0.117344553529687,0.0298279444384507,0.347443658862876,302.081455973244,1375.64694770903,393.65171216187,112126.551839465,25057.7725752508
30,"a","g","b","h",3,8,625,93,12,78,"d",4.45150501672241,0.0109684611788399,9.34836551947351e-05,0.00183569899665552,76.9720287157191,1184.12038133779,1000.6128989962,34122.1806020067,4362.83612040134
31,"a","g","b","h",3,8,225,33,4,28,"d",0.0367892976588629,0.00111482720178372,2.17725752508361e-06,0.000782976588628762,21.4410073444816,399.143511792642,276.727272727273,9790.40133779264,1032.23745819398
32,"a","g","b","h",3,8,225,11,4,28,"r",221.451505016722,0.223472179993919,0.0393201836424445,0.0548397257525084,88.4864256488294,709.170143568562,264.257544993056,37401.3946488294,6136.00668896321
33,"a","g","b","h",3,8,625,31,12,78,"r",6167.33779264214,0.697702017477614,0.388567133887151,1.50653436789298,822.326948772575,2883.82538759532,302.179416976027,198886.247491639,86924.1571906355
34,"a","g","b","h",3,8,625,93,12,78,"r",13003.0434782609,0.508792750026972,0.27308138486712,3.175434909699,765.010052588629,2450.74050831104,292.264196420875,172082.658862876,88833.3913043478
35,"a","g","b","h",3,8,225,33,4,28,"r",989.240802675585,0.205533596837945,0.0585488024728894,0.24231181270903,126.569227722408,621.901592110368,183.058276914384,37224.3913043478,13414.8026755853
36,"a","g","b","h",3,8,625,93,12,78,"r",10924.5752508361,0.423022979825224,0.229430758837703,2.66798691638796,654.255996100334,2005.58311516388,378.294779280405,158589.421404682,69888.8862876254
37,"a","g","b","h",3,8,625,93,12,78,"d",4.39464882943144,0.00809148775488186,9.22906462401554e-05,0.00180890969899666,110.383158270903,1295.57515243144,888.309364834146,50422.9264214047,5401.73913043478
38,"a","g","b","h",3,8,225,11,4,28,"d",1.64882943143813,0.0671936758893281,0.000292742474916388,0.00110271571906355,41.3631436421405,435.739234525084,512.101028095455,19959.1739130435,1132.57190635452
39,"a","g","b","h",3,8,625,93,12,78,"d",16.9933110367893,0.00863092027187399,0.000356880497716402,0.00488452173913043,218.12258264214,921.926473227425,742.552933441176,100895.953177258,10018.5284280936
40,"a","g","b","h",3,8,625,93,12,78,"r",12266.0468227425,0.503973819541842,0.257603464487359,2.99550089297659,594.314707428094,2406.36051769231,286.914135315254,132176.471571906,67739.2976588629
41,"a","g","b","h",3,8,225,11,4,28,"d",1.03344481605351,0.0535117056856187,0.000183483429613864,0.000976903010033445,72.0879228428094,579.486811083612,373.58187495,34822.1772575251,1997.21070234114
42,"a","g","b","h",3,8,625,93,12,78,"r",9660.48829431438,0.400942208796346,0.202883233826015,2.35933672575251,609.130342889632,1868.64344645151,370.262166527027,145436.414715719,75172.4782608696
43,"a","g","b","h",3,8,225,33,4,28,"d",0,0,0,0.000766491638795987,17.6000531070234,320.26866858194,NA,8179.6889632107,718.217391304348
44,"a","g","b","h",3,8,225,11,4,28,"r",4.62207357859532,0.088172696868349,0.000820644572818486,0.00193036454849498,35.9016117391304,729.402343301003,297.227181732143,16404.2073578595,1731.5016722408
45,"a","g","b","h",3,8,625,31,12,78,"d",0.648829431438127,0.0145646779587874,4.0876254180602e-05,0.000890698996655518,217.906857063545,1387.70733129097,699.683315544776,89565.6488294314,18168.0501672241
46,"a","g","b","h",3,8,625,93,12,78,"r",8645.59197324415,0.394612867263639,0.181569046678894,2.11156263879599,713.059854046823,1903.76000687291,339.921841671186,173781.120401338,89926.6153846154
47,"a","g","b","h",3,8,225,11,4,28,"d",0.110367892976589,0.0088172696868349,1.95953177257525e-05,0.000755220735785953,36.879702722408,616.498928274248,438.839080448276,17872.237458194,910.254180602007
48,"a","g","b","h",3,8,225,33,4,28,"d",0.153846153846154,0.00395256916996047,9.1048951048951e-06,0.000786725752508361,21.7802305317726,464.004134394649,346.948717948718,9683.28093645485,1238.72909698997
49,"a","g","b","h",3,8,225,33,4,28,"d",0.903010033444816,0.0168237559541907,5.34417756156887e-05,0.000925230769230769,34.5376641638796,479.045280715719,303.55354164375,16248.2040133779,1327.48829431438
50,"a","g","b","h",3,8,625,93,12,78,"r",10035.3946488294,0.416226130111123,0.210756770920991,2.45087268227425,616.904106976589,1905.11880050502,330.498933525424,155443.759197324,79319.8428093645
51,"a","g","b","h",3,8,625,93,12,78,"d",5.33110367892977,0.00952997446686086,0.000111957097133815,0.00203576588628763,120.099471745819,1196.09162661873,1042.50917806967,52970.9331103679,7261.65551839465
52,"a","g","b","h",3,8,225,11,4,28,"d",5.47491638795987,0.088172696868349,0.000972072666463971,0.00205386622073579,32.9069942240803,585.471845799331,375.928250358696,15407.4448160535,1271.08026755853
53,"a","g","b","h",3,8,225,11,4,28,"r",1129.04013377926,0.582547886895713,0.200468733657647,0.276362725752508,150.350699829431,955.912814408027,202.196696429066,39393.8060200669,17466.27090301
54,"a","g","b","h",3,8,625,31,12,78,"r",5508.90635451505,0.660696946811954,0.347083298521955,1.34577269230769,436.519334839465,2500.70722025418,328.023365765306,119028.62541806,55731.6856187291
55,"a","g","b","h",3,8,625,31,12,78,"r",4601.33110367893,0.538569424964937,0.289902397885425,1.12420440802676,655.577797956522,2395.50523187291,419.731278791809,169395.314381271,87269.7591973244
56,"a","g","b","h",3,8,225,11,4,28,"d",8.52173913043478,0.106111280024324,0.00151305533596838,0.00278432107023411,35.8570686989967,652.178256498328,384.68537878157,17486.4949832776,781.996655518395
57,"a","g","b","h",3,8,225,33,4,28,"r",2313.79933110368,0.318232492145536,0.136943602209385,0.565726234113712,219.318411173913,734.649227471572,211.83990049481,51259.6889632107,25219.7491638796
58,"a","g","b","h",3,8,225,11,4,28,"d",0.568561872909699,0.0389176041349954,0.000100945576162967,0.000874923076923077,17.4224885685619,882.01397845485,323.402116388889,8467.65217391304,426.635451505017
59,"a","g","b","h",3,8,225,11,4,28,"r",38.8729096989967,0.150501672240803,0.00690211158406811,0.0101930100334448,20.7713467458194,790.802021916388,258.210673364912,8885.78260869565,1287.72909698997
60,"a","g","b","h",3,8,625,31,12,78,"r",4774.99665551839,0.60750890063653,0.30084402837415,1.16659294314381,474.520634749164,2185.42905995318,381.46365664966,109481.02006689,54834.2508361204
61,"a","g","b","h",3,8,625,93,12,78,"d",283.996655518395,0.0460675369511274,0.00596430646959399,0.0700128060200669,192.775318351171,998.808887277592,808.501999789474,78217.3879598662,14997.1137123746
62,"a","g","b","h",3,8,625,31,12,78,"d",565.117056856187,0.176610206063222,0.0356046434351063,0.138651585284281,252.159580949833,1886.47076146154,627.107688812207,83799.9397993311,18021.0468227425
63,"a","g","b","h",3,8,625,93,12,78,"d",4.74581939799331,0.00629337936490812,9.96670982126803e-05,0.0019310602006689,135.080469625418,1071.07413995652,933.240527512821,62152.2107023411,6600.14715719064
64,"a","g","b","h",3,8,625,31,12,78,"d",1.24414715719064,0.0209299816592944,7.838127090301e-05,0.00104285284280936,133.256139826087,1922.3671413311,768.655411175758,60281.6053511706,7231.35451505017
65,"a","g","b","h",3,8,625,93,12,78,"d",1.06688963210702,0.00561009817671809,2.24046822742475e-05,0.00101144816053512,256.25357919398,1103.85644812709,692.024567045455,105383.963210702,21148.7090301003
66,"a","g","b","h",3,8,225,11,4,28,"r",6.13377926421405,0.0939495287321374,0.00108905746427486,0.00220525418060201,31.9620345183946,666.743134234114,300.611809581818,15003.5852842809,1228.51839464883
