"EXPERIMENT","MODEL","RICHNESS_TYPE","RICHNESS_VARIATION","RICHNESS","TRAITSUM","T2SRATIO","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",2,0.0909090909090909,0.000355090909090909,120.071053,206.357421,557.537109,69,36374,30673
2,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,167.732098,128.58789,484.599609,NA,41486,14523
3,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,105.998047,267.464843,1027.21289,NA,52831,27408
4,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",4,0.0909090909090909,0.000710181818181818,27.57416,70.140625,550.736328,346.75,15865,10361
5,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",1,0.010752688172043,2.1e-05,728.50196,531.214843,1314.330078,68,112846,75833
6,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",0,0,0,85.90918,110.601562,890.910156,NA,17787,12605
7,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",0,0,0,250.943361,420.574218,2582.498046,NA,143670,58153
8,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,608.201172,430.341796,1098.197265,NA,134446,57435
9,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",3,0.010752688172043,6.3e-05,367.960043,268.759765,877.064453,477.666666,84099,29679
10,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",15,0.032258064516129,0.000945032258064516,236.009798,107.154296,1952.810546,1224.133333,29492,16410
11,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",0,0,0,314.599936,364.789062,1371.634765,NA,79269,51114
12,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,337.292971,94.013671,2093.361328,NA,17752,12756
13,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,518.484375,131.095703,1665.130859,NA,33547,17410
