"EXPERIMENT","EVENNESS_CONTROL","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
1,"d","f","a","s","b",3,4,625,93,12,78,"r",6366.63545150502,0.325026072571655,0.133707896680692,212.262228,1127.67614660535,7393.86533850167,871.651527176871,6.85953177257525,7.57859531772575,8.29765886287625,257192.789297659,111120.682274247
2,"d","f","a","s","b",3,4,225,11,4,28,"d",242.719063545151,0.313773183338401,0.0430963870477349,36.4372769966555,364.943065033445,2636.81220563545,383.849339884477,8.50501672240803,6.70234113712375,8.00334448160535,78074.7558528428,35132.635451505
3,"d","f","a","s","b",3,4,625,31,12,78,"d",295.056856187291,0.144675801057288,0.0185897569317078,8.8348737458194,1460.99389852174,10397.6692159565,1115.33136773118,8.09030100334448,6.67224080267559,8.29096989966555,321197.337792642,175225.769230769
4,"d","f","a","s","b",3,4,225,11,4,28,"r",1457.79598662207,0.717239282456674,0.258841574338705,19.5144182876254,469.179197150502,3460.80771143813,321.147577473868,6.74581939799331,8.67892976588629,7.33779264214047,117094.715719064,51700.0769230769
5,"d","f","a","s","b",3,4,625,93,12,78,"d",84.6220735785953,0.0252814039630309,0.00177717279821628,139.138758622074,1354.77804878261,8028.13479133779,1319.01681828102,7.95652173913043,7.47826086956522,7.91304347826087,245082.197324415,151867.311036789
6,"d","f","a","s","b",3,4,225,11,4,28,"r",1422.08026755853,0.734569778048039,0.252500005168744,25.4833711103679,414.184592742475,3814.7273851204,331.146934410959,7.97324414715719,7.25083612040134,7.0133779264214,106870.538461538,47613.0301003345
7,"d","f","a","s","b",3,4,225,33,4,28,"r",2502.00668896321,0.351880004053917,0.148082768419986,44.317412187291,500.501194939799,3887.26618633445,347.732716562069,7.50501672240803,8.06354515050167,7.74247491638796,118651.294314381,44669.6287625418
8,"d","f","a","s","b",3,4,225,33,4,28,"d",2,0.0286814634640722,0.000118364649842911,62.8537436555184,475.085238110368,2172.39373389967,457.117616522613,9.14715719063545,6.45819397993311,7.55852842809365,90131.8227424749,47940.5317725753
9,"d","f","a","s","b",3,4,225,33,4,28,"d",6.87290969899666,0.0411472585385629,0.00040676730515861,28.1699881471572,461.857774200669,3440.05985404682,414.188124506329,9.03344481605351,7.46488294314381,6.85284280936455,89024.9130434783,37125.5919732441
10,"d","f","a","s","b",3,4,625,93,12,78,"d",6.53511705685619,0.0112561585212357,0.00013724252885964,199.454319294314,799.390278367893,6262.97311959197,1141.20415984585,9.25752508361204,7.32107023411371,6.8628762541806,178158.47826087,79639.9096989966
11,"d","f","a","s","b",3,4,625,31,12,78,"d",2880.53177257525,0.534469737835797,0.181485104757795,43.0828787759197,970.152859331104,9483.93348227425,903.895601727612,7.46153846153846,9.61204013377926,6.41137123745819,271543.086956522,96271.1638795987
12,"d","f","a","s","b",3,4,625,93,12,78,"d",34.3444816053512,0.0194555327795159,0.000721275434243176,88.3095225217391,982.630480070234,8520.34969386288,1250.86207572202,9.12040133779264,7.22742474916388,7.04347826086957,207790.919732441,93610.4414715719
13,"d","f","a","s","b",3,4,225,11,4,28,"r",592.404682274248,0.411675281240499,0.105185450592885,28.1457292876254,215.146503538462,3529.32509361873,366.966046045139,8.58528428093645,6.98996655518395,7.67224080267559,42780.8461538462,20409.3110367893
14,"d","f","a","s","b",3,4,225,11,4,28,"d",12.7357859531773,0.100942535725144,0.00226130100334448,13.7738291270903,387.570991397993,3437.53537793646,449.982631378641,9.16387959866221,6.60869565217391,7.21739130434783,93710.2742474916,29865.4180602007
15,"d","f","a","s","b",3,4,625,31,12,78,"d",39.0200668896321,0.0668896321070234,0.00245840835041536,45.657579361204,1805.88089158528,11549.3538287157,1242.92205767669,8.14715719063545,7.8628762541806,7.29096989966555,261306.91638796,164240.133779264
16,"d","f","a","s","b",3,4,225,33,4,28,"r",65.9799331103679,0.0805716023107328,0.00390504854565724,81.1084430769231,681.417850732441,2850.75643376589,375.273091182759,8.46153846153846,7.25752508361204,7.24414715719064,109112.602006689,49856.1170568562
17,"d","f","a","s","b",3,4,625,31,12,78,"d",2960.90635451505,0.513108210162909,0.186549025461215,93.4468688361204,1360.73551767559,9243.71528096321,1082.03322022878,7.7056856187291,7.75250836120401,8.04013377926421,368516.294314381,117861.080267559
18,"d","f","a","s","b",3,4,225,33,4,28,"r",182.585284280936,0.105908584169454,0.0108064065065369,49.7084500735786,406.650135444816,3240.56532795987,357.098563044521,9.55518394648829,6.42809364548495,7.20066889632107,83942.6387959866,34525.6254180602
