"EXPERIMENT","EVENNESS_CONTROL","RATIO","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
1,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2953,1,0.524325272727273,22.098601,694.785156,5167.708984,201.372163,8,8,8,130110,93175
2,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",60,0.0606060606060606,0.00355112121212121,112.835969,268.863281,3188.628906,463.416666,8,8,8,27084,20904
3,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",7308,1,0.460433451612903,59.156984,854.972656,15989.654296,840.4974,8,8,8,188541,103886
4,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",9636,1,0.607106838709677,164.328516,1369.865234,13476.832031,689.191677,8,8,8,258888,118859
5,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",5532,1,0.348538290322581,141.859184,1371.763671,11465.580078,510.857736,8,8,8,252088,174333
6,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",20171,0.913978494623656,0.423618107526882,222.631255,1334.125,12714.597656,608.897873,8,8,8,247889,176921
7,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",13,0.181818181818182,0.00230818181818182,49.877778,258.888671,3153.548828,532.384615,8,8,8,39301,26398
8,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",25556,0.956989247311828,0.536710344086021,284.386947,1110.642578,12044.898437,776.774064,8,8,8,178338,121017
9,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",119,0.0606060606060606,0.00704306060606061,117.002158,227.53125,2737.630859,334.436974,8,8,8,26724,17705
10,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",117,0.181818181818182,0.0207740909090909,51.425408,517.162109,2604.144531,495.017094,8,8,8,91243,45945
11,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",9052,1,0.535748090909091,81.47508,441.640625,4397.708984,281.176535,8,8,8,82599,43761
12,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",8539,1,0.537991419354839,79.473992,1190.289062,13741.783203,763.368778,8,8,8,290927,136043
13,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",8,0.0909090909090909,0.000473484848484848,97.580906,358.251953,2829.126953,499.25,8,8,8,39355,31611
14,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",22495,0.956989247311828,0.472425225806452,176.484281,1844.230468,12792.814453,631.998666,8,8,8,329791,230903
15,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",6916,0.494623655913978,0.145245290322581,239.085703,989.291015,9613.970703,892.093551,8,8,8,217468,117196
16,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",21520,0.870967741935484,0.451948913978495,327.317683,1080.68164,10646.179687,805.274907,8,8,8,202135,100770
17,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",17,0.021505376344086,0.000357021505376344,210.109439,1420.154296,7223.423828,1335.823529,8,8,8,105627,92332
18,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",13,0.010752688172043,0.000273010752688172,205.859002,371.992187,7546.21289,879.923076,8,8,8,57243,32520
19,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",19664,0.903225806451613,0.412970430107527,316.377917,1050.044921,12204.898437,790.886289,8,8,8,214570,128164
20,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",6987,0.967741935483871,0.440209161290323,221.175191,1163.439453,11182.964843,752.899241,8,8,8,254033,113408
21,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",6498,1,0.409400193548387,134.873216,1132.292968,13653.357421,805.111572,8,8,8,229849,113247
22,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",7384,1,0.465221741935484,164.553839,2147.085937,10865.910156,712.08708,8,8,8,320637,205470
23,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",9739,1,0.576408606060606,71.853339,779.830078,4191.55664,254.171578,8,8,8,176753,85480
24,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",7899,1,0.497668838709677,195.112191,1375.691406,10457.703125,758.847322,8,8,8,267231,155946
25,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",612,0.290322580645161,0.0385584516129032,7.260439,1353.146484,12401.421875,1096.228758,8,8,8,254767,152010
26,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2085,1,0.370205909090909,19.072738,502.859375,4550.34375,253.309832,8,8,8,117691,45773
27,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",10025,1,0.631615419354839,139.133855,1306.017578,11998.947265,625.190224,8,8,8,294849,138489
28,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",5555,0.806451612903226,0.349987387096774,190.590202,1981.21875,14998.167968,1083.731593,8,8,8,345180,125371
29,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",37,0.121212121212121,0.00218984848484848,95.082568,366.597656,3540.048828,438.945945,8,8,8,37457,32795
